region,gpu_model,hourly_usd_per_gpu,n_instance_types_sampled
ap-northeast-1,A100_80GB,4.7,2
ap-northeast-1,H100_80GB,8.6,3
ap-northeast-1,L40S,4.91,16
ap-northeast-2,H100_80GB,9.49,1
ap-northeast-2,L40S,4.16,16
ap-northeast-3,L40S,4.91,16
ap-south-1,H100_80GB,8.26,6
ap-south-1,L40S,4.07,16
ap-southeast-1,A100_80GB,4.12,2
ap-southeast-2,H100_80GB,8.94,4
ap-southeast-3,H100_80GB,9.49,2
ca-central-1,H100_80GB,7.91,1
eu-central-1,A100_80GB,4.29,2
eu-central-1,L40S,4.23,24
eu-north-1,H100_80GB,7.36,3
eu-north-1,L40S,3.59,16
eu-south-2,L40S,3.57,16
eu-west-2,H100_80GB,8.94,6
me-central-1,L40S,4.15,16
us-east-1,A100_80GB,3.43,9
us-east-1,H100_80GB,6.88,13
us-east-1,L40S,3.39,32
us-east-2,H100_80GB,6.88,6
us-east-2,L40S,3.39,24
us-west-1,H100_80GB,8.6,2
us-west-2,A100_80GB,3.43,9
us-west-2,H100_80GB,6.88,8
us-west-2,L40S,3.39,32
